artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Johnny Cash,I've Been Everywhere,59J3FhCGYl18G3ouDReUge,56,0.615,0.724,196733,0.778,2.49e-06,11,0.323,-5.814,0,0.0695,112.215,4,0.811
Joan Sebastian,Tatuajes,7if2mDYRGkYTUMzlNgiNqv,64,0.73,0.782,211929,0.534,4.14e-06,7,0.13,-5.401,1,0.0281,100.565,4,0.917
Butthole Surfers,Pepper,1ng36571Iyov4HBxUClySn,56,0.00589,0.631,297267,0.804,0.00116,7,0.16,-5.492,1,0.166,79.898,4,0.671
Trace Adkins,Every Light In The House,2A7j0RLnzvvlUFrevBiOQf,55,0.539,0.637,179600,0.472,0.0,5,0.446,-7.295,1,0.0271,129.236,4,0.349
2Pac,Can't C Me,09EwNbGvUyu7BDEYG0cJro,61,0.0432,0.797,330760,0.852,3.97e-06,0,0.409,-2.234,1,0.172,95.416,4,0.674
Toni Braxton,Un-Break My Heart,5Ihd9HrPvOADyVoonH9ZjB,66,0.413,0.625,270333,0.426,0.0,2,0.116,-8.392,0,0.0271,110.018,4,0.112
OMC,How Bizarre,0wJyFu6JHwUoKQN5X3uzVe,56,0.323,0.785,224165,0.686,1.83e-06,0,0.566,-7.748,1,0.0497,124.918,4,0.838
Sublime,Garden Grove,5tFpkuwgFZQm3jv4PTX4VB,56,0.00225,0.531,261387,0.617,0.000692,4,0.0296,-6.111,0,0.0426,81.64,4,0.549
Matchbox Twenty,Real World,70fe354BpVKEvMY0de78YO,57,0.00628,0.504,231693,0.761,0.0,10,0.0892,-5.446,1,0.0437,117.999,4,0.884
Counting Crows,A Long December,1tjKIXd7DYNklhVSgBxREi,59,0.469,0.398,295067,0.591,0.000588,5,0.337,-6.925,1,0.0298,142.336,4,0.425
Fiona Apple,Criminal,6PNvv1dmDbOWrAYwEcuKBX,57,0.0129,0.595,341533,0.804,1.97e-05,7,0.299,-7.911,0,0.0326,89.846,4,0.586
George Strait,I Can Still Make Cheyenne,7yQMZQeiSKnvEgimeGPVhi,55,0.681,0.578,256067,0.381,0.000314,3,0.096,-10.141,1,0.0271,109.516,4,0.315
Too $hort,Gettin' It,5K5dQsYdSdo2LKdepxbYAd,55,0.176,0.902,341427,0.411,0.0,1,0.119,-5.311,1,0.217,84.07,4,0.667
Sheryl Crow,Everyday Is A Winding Road,0t6DAi9KEiaWOtgTTXGhD2,55,0.0553,0.633,256000,0.675,2.67e-05,6,0.102,-8.163,1,0.041,112.955,4,0.746
Shenandoah,"Next To You, Next To Me",37KWffCdnLyHqvhugCQNM6,56,0.418,0.65,205733,0.712,2.28e-05,8,0.04,-8.25,1,0.0253,94.292,4,0.921
Mark Chesnutt,Goin' Through The Big D,4s6Q9zPmiYcpo5MR7uoVnt,54,0.147,0.567,155493,0.841,0.000296,10,0.0953,-7.554,1,0.0358,173.787,5,0.884
Sublime,Doin' Time - Original Version,4eamJr2k9YDH8j58RSTmSc,54,0.0362,0.708,253840,0.757,0.0,7,0.17,-5.121,1,0.0791,80.976,4,0.552
Tony! Toni! Toné!,Let's Get Down,7qdo6JOOaaY9LadOAhfXq7,56,0.0477,0.907,299507,0.66,0.0,7,0.196,-4.403,1,0.0956,103.318,4,0.552
Reel Big Fish,Sell Out,6SJ1hWFVBIiUgGgHKvwXCQ,57,0.064,0.557,227493,0.87,1.51e-05,1,0.208,-6.332,1,0.125,104.708,4,0.947
Mobb Deep,Hell on Earth (Front Lines),1RjU7UhRICmdFPKxCucLgq,63,0.275,0.875,274093,0.658,0.0,0,0.122,-3.641,1,0.359,92.039,4,0.661
Soundgarden,Burden In My Hand,1iArQTuOzxvrtniGmkyy92,57,0.00534,0.319,290107,0.803,0.0126,10,0.177,-8.928,1,0.0394,183.031,4,0.589
2Pac,2 Of Amerikaz Most Wanted,5Ddu4AaN1VaZ1MTg1neCl7,60,0.0253,0.856,246533,0.904,3.16e-05,8,0.0537,-4.804,1,0.139,99.247,4,0.855
Deana Carter,Strawberry Wine,5Pgwi0iizu96RHxJ4xL3SH,54,0.314,0.572,291533,0.449,0.0,1,0.0301,-6.566,1,0.0264,122.632,3,0.207
702,Steelo,5OQO6NEs89flntUWPtXUiG,53,0.113,0.772,257960,0.736,0.00189,8,0.101,-8.19,0,0.145,91.008,4,0.622
Nas,The Message,1AHfovSnGPVYKaahRtA0U6,61,0.00776,0.614,234093,0.543,3.28e-05,5,0.383,-7.178,1,0.374,178.422,4,0.485
Duncan Sheik,Barely Breathing,75HZ6Wxnw8xbgz6HU9kKCS,56,0.0281,0.482,254547,0.807,0.0,0,0.177,-6.976,1,0.0457,187.918,4,0.516
John Anderson,Straight Tequila Night,5pd09tZmcXpyaXcuzs1p7J,53,0.137,0.638,172756,0.661,0.0,9,0.245,-10.134,1,0.0341,109.268,4,0.464
John Anderson,Seminole Wind,7xdQBiKGzfN8ripbLkihWu,53,0.323,0.619,237076,0.575,1.39e-06,2,0.125,-11.115,1,0.0319,126.964,4,0.372
112,Only You-Bad Boy Remix (feat. The Notorious B.I.G. & Mase),6zOg9gP62RJSsKFeOBAgvH,57,0.0296,0.764,289413,0.525,0.0,8,0.0993,-5.969,1,0.048,95.813,4,0.787
Lord Finesse,Hip 2 Da Game,30eW6IlBK3wCwcB8TsPXua,60,0.031,0.769,243107,0.752,2.79e-06,11,0.0564,-6.0,1,0.324,90.225,4,0.527
La Bouche,Be My Lover,7FoUzKTSQp25oe32pY9z5p,58,0.00129,0.669,240267,0.941,4.3e-06,1,0.886,-5.765,0,0.0313,134.809,4,0.841
Adolescent's Orquesta,Me Tengo Que Ir,3AK05RIuu30jqJ40cfOxLD,65,0.258,0.451,280189,0.785,0.0,2,0.12,-4.701,0,0.0362,96.831,4,0.846
Los Temerarios,Tu Última Canción,7dWSrvzawBZPa7VVeHZBn7,58,0.189,0.55,262333,0.42,2.35e-06,2,0.0499,-11.406,1,0.0286,86.072,4,0.357
Oscar D'León,Lloraras,23Fw0qh3Onqn2276LiL2pT,62,0.582,0.708,221008,0.709,0.000516,9,0.0717,-7.555,1,0.0472,96.046,4,0.962
Ginuwine,Pony,5FR54UnizyI8pE5E9Zb0Dt,58,0.0068,0.545,324800,0.647,0.000904,8,0.503,-8.079,0,0.284,142.026,4,0.957
Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",28UMiBhn383n9S7GL4tsxD,64,0.314,0.614,273667,0.466,0.0,1,0.099,-9.881,1,0.0327,119.916,4,0.178
Eddie Santiago,Lluvia,5Ba4YFq13YdsTosd7mwqzi,59,0.503,0.653,296920,0.748,3.43e-05,10,0.0787,-7.895,1,0.0378,165.048,4,0.77
Dave Matthews Band,#41,2nklcPJ3YhYJfC2ibStXz9,52,0.00199,0.577,399800,0.726,0.0386,4,0.158,-8.011,0,0.0299,107.416,4,0.764
Fugees,Fu-Gee-La,1rJM37Dd4OcSJvzI84yCcP,61,0.137,0.682,260067,0.505,0.0,1,0.234,-11.709,1,0.138,89.954,4,0.4
Intocable,¿Y Todo Para Qué?,53IpyJOqUIcCzCUtMjP9oy,61,0.336,0.694,190533,0.637,5.4e-05,0,0.322,-7.786,1,0.0274,102.833,4,0.782
Los Temerarios,Eres un Sueño,4gxzgTzA4MSLf5rje1rX65,57,0.484,0.639,242733,0.399,0.00056,5,0.133,-11.815,1,0.0248,79.113,4,0.306
Los Temerarios,Enamorado de Ti,3pY68z0dH4i4gF1zzONS0q,57,0.147,0.628,249200,0.401,6.64e-05,2,0.149,-12.093,1,0.0244,77.109,4,0.417
2Pac,Ratha Be Ya N____,6EVKzzNM0ZhEvJTBk2SACX,57,0.204,0.733,253973,0.558,0.0,11,0.695,-5.56,0,0.278,84.577,4,0.566
Cake,I Will Survive,0qgiFuYhYuwtFXEwYakddE,58,0.303,0.507,310600,0.683,0.000132,7,0.142,-8.079,1,0.0316,95.732,4,0.901
